Year,Month, CerroPrieto.EvaporationRate,Riego.FractionalReturnFlow,CerroPrieto.Release,LaBoca.Release,LaBoca.Evaporation,PozosAreaMetropolitana.Percolation,AreaMetropolitanadeMonterrey.FractionalReturnFlow,AreaMetropolitanadeMonterrey.AvailableSupplementalWater, DR031.FractionalReturnFlow,DR031.Diversion,ElCuchillo.EvaporationRate,AcueductoRegionalChinaAldama.FractionalReturnFlow,AcueductoRegionalChinaAldama.Diversion,DR026.Diversion,DR026.FractionalReturnFlow
6,9,0.09621,1,0.75,0,0.461,2.008196721,0.71,0.26,1,2,0.24038,1,0.339,35,1
6,10,0.10112,1,0.75,0,0.498,2.075136612,0.71,0.26,1,2,0.30294,1,0.339,35,1
6,11,-0.03375,1,0.75,0,0.498,2.008196721,0.71,0.26,1,2,0.28143,1,0.339,35,1
6,12,0.08385,1,0.75,0,0.542,2.075136612,0.71,0.26,1,2,0.04807,1,0.339,35,1
7,1,0.09212,1,0.75,0,0.498,2.080821918,0.71,0.26,1,2,0.30335,1,0.339,35,1
7,2,0.09488,1,0.75,0,0.498,1.879452055,0.71,0.26,1,2,-0.09493,1,0.339,35,1
7,3,0.1753,1,0.75,0,0.4765,2.080821918,0.71,0.26,1,2,-0.02775,1,0.339,35,1
7,4,0.21261,1,0.75,0,0.467,2.01369863,0.71,0.26,1,2,0.07674,1,0.339,35,1
7,5,0.25112,1,0.75,0,0.467,2.080821918,0.71,0.26,1,2,0.09104,1,0.339,35,1
7,6,0.25165,1,0.75,0,0.454,2.01369863,0.71,0.26,1,2,0.04153,1,0.339,35,1
7,7,0.29294,1,0.75,0,0.454,2.080821918,0.71,0.26,1,2,0.06574,1,0.339,35,1
7,8,0.04175,1,0.75,0,0.316,2.080821918,0.71,0.26,1,2,0.1059,1,0.339,35,1
7,9,0.11164,1,0.75,0,0.284,2.01369863,0.71,0.26,1,2,0.15523,1,0.339,35,1
7,10,0.12495,1,0.75,0,0.274,2.080821918,0.71,0.26,1,2,0.22413,1,0.339,35,1
7,11,0.1277,1,0.75,0,0.284,2.01369863,0.71,0.26,1,2,0.21796,1,0.339,35,1
7,12,0.05747,1,0.75,0,0.284,2.080821918,0.71,0.26,1,2,0.10821,1,0.339,35,1
8,1,0.06444,1,0.75,0,0.202,2.080821918,0.71,0.26,1,2,0.19187,1,0.339,35,1
8,2,0.2435,1,0.75,0,0.236,1.879452055,0.71,0.26,1,2,0.01453,1,0.339,35,1
8,3,0.17153,1,0.75,0,0.338,2.080821918,0.71,0.26,1,2,0.06625,1,0.339,35,1
8,4,0.12401,1,0.75,0,0.274,2.01369863,0.71,0.26,1,2,0.14159,1,0.339,35,1
8,5,0.15314,1,0.75,0,0.284,2.080821918,0.71,0.26,1,2,0.14487,1,0.339,35,1
